ORDER_ID,CUSTOMER_ID,STORE_ID,EMPLOYEE_ID,ORDER_DATE,REQUIRED_DATE,SHIP_DATE,ORDER_STATUS,SHIP_METHOD,SHIPPING_ADDRESS_ID,TOTAL_AMOUNT,TAX_AMOUNT,SHIPPING_COST,DISCOUNT_AMOUNT,FINAL_AMOUNT,PAYMENT_METHOD,PAYMENT_STATUS,NOTES
26,788,6,194,2024-02-03,2024-02-05,,Pending,Pickup,,244819.78,36722.97,309,33264.22,248587.53,Bank Transfer,Pending,Order placed by Ibrahim Farooq
27,637,68,135,2023-11-24,2023-12-02,,Processing,Standard,,239124.95,35868.74,224,25982.05,249235.64,Cash,Pending,Order placed by Zayan Ali
28,980,34,84,2024-11-29,2024-12-12,2024-12-01,Shipped,Pickup,,46498.28,6974.74,360,2757.72,51075.31,Mobile Banking,Completed,Order placed by Amina Rizvi
29,1577,6,163,2025-04-15,2025-04-25,2025-04-22,Delivered,Express,,371117.51,55667.63,497,32300.49,394981.64,Debit Card,Completed,Order placed by Noor Shah
30,87,30,221,2023-10-29,2023-11-09,2023-10-30,Shipped,Same Day,,43907.72,6586.16,471,2415.28,48549.6,Cash,Completed,Order placed by Zain Khan
31,404,52,253,2024-10-02,2024-10-08,2024-10-05,Shipped,Same Day,,230395.32,34559.3,285,41368.68,223870.93,Debit Card,Completed,Order placed by Zain Zahid
32,1896,22,222,2025-03-01,2025-03-05,2025-03-03,Shipped,Express,,167205.43,25080.81,335,13573.57,179047.68,Debit Card,Completed,Order placed by Bilal Saleem
33,1509,41,36,2024-10-31,2024-11-08,2024-11-02,Shipped,Same Day,,71182.3,10677.34,19,12597.7,69280.94,EasyPaisa,Completed,Order placed by Ayan Rizvi
34,1057,29,155,2025-08-08,2025-08-14,2025-08-10,Shipped,Pickup,,493256.82,73988.52,223,37334.18,530134.17,Credit Card,Completed,Order placed by Mariam Siddiqui
35,254,34,84,2023-10-30,2023-11-02,2023-10-31,Delivered,Same Day,,93770.89,14065.63,492,8724.11,99604.41,Debit Card,Completed,Order placed by Jannat Hassan
36,767,8,186,2025-02-23,2025-03-07,2025-03-01,Shipped,Courier,,305203.65,45780.55,436,15555.35,335864.84,Cash,Completed,Order placed by Arham Rashid
37,1929,43,161,2024-02-20,2024-02-27,2024-02-22,Shipped,Standard,,307124.51,46068.68,67,41522.49,311737.69,Cash,Completed,Order placed by Hafsa Naeem
38,1517,34,84,2025-04-17,2025-04-25,2025-04-21,Delivered,Pickup,,44863.87,6729.58,341,9088.13,42846.32,Cash,Completed,Order placed by Aisha Zaidi
39,338,17,48,2025-06-16,2025-06-21,2025-06-18,Delivered,Same Day,,393057.5,58958.63,4,33598.5,418421.63,Debit Card,Completed,Order placed by Ibrahim Khan
40,521,34,286,2024-11-10,2024-11-12,,Processing,Same Day,,33412.71,5011.91,431,2967.29,35888.32,JazzCash,Pending,Order placed by Aisha Naeem
41,46,36,246,2024-05-26,2024-05-28,2024-05-31,Shipped,Courier,,208802.27,31320.34,95,10881.73,229335.87,Debit Card,Completed,Order placed by Shahzad Rizwan
42,506,39,234,2024-03-25,2024-04-06,2024-03-28,Delivered,Standard,,70630.94,10594.64,123,9845.06,71503.52,Cash,Completed,Order placed by Ali Saleem
43,250,66,103,2023-11-12,2023-11-16,2023-11-17,Delivered,Express,,308156.81,46223.52,392,47502.19,307270.14,EasyPaisa,Completed,Order placed by Abdullah Rizwan
44,1831,58,213,2023-09-17,2023-09-19,2023-09-21,Delivered,Courier,,113983.85,17097.58,36,11818.15,119299.29,Credit Card,Completed,Order placed by Maryam Malik
45,244,53,157,2023-11-22,2023-12-05,2023-11-28,Shipped,Same Day,,70282.48,10542.37,252,4585.52,76491.33,JazzCash,Completed,Order placed by Sumaya Malik
46,940,70,11,2024-05-22,2024-05-31,,Pending,Same Day,,114743.92,17211.59,129,8984.08,123100.42,Bank Transfer,Pending,Order placed by Muhammad Saeed
47,1738,4,76,2023-12-12,2023-12-17,,Pending,Standard,,500595.37,75089.31,215,17726.63,558173.05,EasyPaisa,Pending,Order placed by Yusuf Rizvi
48,1111,6,92,2024-10-06,2024-10-10,2024-10-08,Shipped,Pickup,,282534.59,42380.19,335,31157.41,294092.37,Cash,Completed,Order placed by Mariam Jafri
49,1615,62,146,2024-04-08,2024-04-09,2024-04-09,Shipped,Pickup,,230795.76,34619.36,462,30338.24,235538.89,Mobile Banking,Completed,Order placed by Arham Qureshi
50,1136,57,270,2023-12-30,2024-01-10,,Pending,Pickup,,187365.79,28104.87,488,12488.21,203470.46,EasyPaisa,Pending,Order placed by Rayyan Shah
51,1965,59,265,2025-05-21,2025-05-27,2025-05-25,Shipped,Express,,140927.92,21139.19,431,11917.08,150581.03,Mobile Banking,Completed,Order placed by Maryam Khalid
52,280,32,64,2025-04-02,2025-04-05,2025-04-03,Delivered,Pickup,,499984.14,74997.62,397,52177.86,523200.9,Bank Transfer,Completed,Order placed by Ayesha Malik
53,892,29,155,2023-08-25,2023-09-02,2023-08-30,Delivered,Pickup,,280619.98,42093.0,149,46039.02,276822.96,Bank Transfer,Completed,Order placed by Yusuf Akhtar
54,1771,41,20,2024-05-21,2024-05-29,2024-05-28,Delivered,Express,,177588.36,26638.25,211,26511.64,177925.98,Bank Transfer,Completed,Order placed by Zayan Khalid
55,696,61,242,2024-08-23,2024-08-31,2024-08-27,Shipped,Courier,,106623.0,15993.45,63,12493.0,110186.46,JazzCash,Completed,Order placed by Aisha Ali
56,275,23,26,2024-07-15,2024-07-29,,Processing,Standard,,125053.99,18758.1,71,25152.01,118731.08,EasyPaisa,Pending,Order placed by Noor Ali
57,899,22,222,2023-10-23,2023-10-29,2023-10-25,Delivered,Courier,,278031.61,41704.74,83,24943.39,294875.96,Debit Card,Completed,Order placed by Jannat Rehman
58,1682,14,42,2024-08-09,2024-08-11,2024-08-13,Delivered,Express,,235316.25,35297.44,52,33952.75,236712.94,Mobile Banking,Completed,Order placed by Amina Khan
59,369,38,299,2025-03-11,2025-03-20,2025-03-14,Shipped,Pickup,,243636.74,36545.51,48,34699.26,245530.99,Credit Card,Completed,Order placed by Ayan Saeed
60,413,55,34,2024-12-04,2024-12-08,2024-12-07,Delivered,Express,,37107.22,5566.08,21,6156.78,36537.53,Credit Card,Completed,Order placed by Hassan Ali
61,1937,73,249,2024-04-12,2024-04-20,2024-04-19,Delivered,Pickup,,448596.73,67289.51,109,39025.27,476969.96,Cash,Completed,Order placed by Bilal Saeed
62,327,72,294,2024-05-11,2024-05-24,2024-05-14,Delivered,Same Day,,28018.47,4202.77,448,3319.53,29349.71,Debit Card,Completed,Order placed by Ahmed Saeed
63,353,6,163,2024-09-26,2024-10-05,2024-09-28,Shipped,Standard,,163033.96,24455.09,246,7347.04,180388.01,Credit Card,Completed,Order placed by Rayyan Siddiqui
64,1749,24,56,2024-12-08,2024-12-11,2024-12-12,Delivered,Courier,,28935.88,4340.38,288,1840.12,31724.14,Credit Card,Completed,Order placed by Ibrahim Rizwan
65,396,71,259,2025-04-26,2025-04-27,2025-04-27,Delivered,Express,,120703.21,18105.48,391,26839.79,112359.89,Bank Transfer,Completed,Order placed by Ayesha Waseem
66,768,20,224,2024-01-29,2024-02-11,2024-01-31,Shipped,Express,,70820.78,10623.12,115,11952.22,69606.68,EasyPaisa,Completed,Order placed by Mariam Abbas
67,1450,57,236,2023-10-30,2023-11-06,,Processing,Same Day,,456401.19,68460.18,212,64002.81,461070.56,Debit Card,Pending,Order placed by Abdullah Saleem
68,876,10,225,2024-04-30,2024-05-11,,Processing,Express,,108937.8,16340.67,315,19786.2,105807.26,Debit Card,Pending,Order placed by Amaan Qureshi
69,1217,6,58,2023-10-15,2023-10-23,,Pending,Same Day,,52945.32,7941.8,96,11903.68,49079.44,EasyPaisa,Pending,Order placed by Sana Saleem
70,1088,2,228,2024-12-14,2024-12-17,2024-12-21,Shipped,Courier,,231187.99,34678.2,91,35531.01,230426.17,EasyPaisa,Completed,Order placed by Haris Zaidi
71,1865,41,36,2024-08-28,2024-09-02,2024-09-04,Delivered,Express,,227224.9,34083.73,21,31341.1,229988.53,Debit Card,Completed,Order placed by Umar Ali
72,1948,44,204,2024-07-10,2024-07-17,2024-07-16,Delivered,Standard,,101742.88,15261.43,209,5319.12,111894.19,Debit Card,Completed,Order placed by Amina Akhtar
73,980,1,22,2025-04-08,2025-04-22,2025-04-11,Shipped,Standard,,193152.69,28972.9,42,13116.31,209051.29,Debit Card,Completed,Order placed by Amina Rizvi
74,1000,42,243,2024-05-29,2024-06-01,,Pending,Courier,,156058.7,23408.81,125,18098.3,161494.21,JazzCash,Pending,Order placed by Arham Naeem
75,1862,20,224,2023-12-01,2023-12-09,2023-12-05,Delivered,Same Day,,96871.08,14530.66,262,12459.92,99203.82,Debit Card,Completed,Order placed by Yusuf Nadeem
76,306,8,208,2024-11-15,2024-11-25,2024-11-22,Delivered,Pickup,,404932.39,60739.86,259,60981.61,404949.65,EasyPaisa,Completed,Order placed by Zoya Nadeem
77,462,36,140,2024-05-19,2024-05-29,2024-05-26,Delivered,Courier,,149948.46,22492.27,48,14194.54,158294.18,EasyPaisa,Completed,Order placed by Sadia Naeem
78,1585,16,238,2023-12-19,2023-12-27,,Pending,Standard,,481634.56,72245.18,202,41885.44,512196.3,Mobile Banking,Pending,Order placed by Ahmed Naeem
79,991,42,272,2023-10-31,2023-11-02,2023-11-02,Delivered,Express,,283468.63,42520.29,286,41408.37,284866.56,Cash,Completed,Order placed by Mahnoor Abbas
80,1441,75,98,2024-02-26,2024-02-28,2024-02-28,Delivered,Express,,388983.14,58347.47,417,52211.86,395535.76,JazzCash,Completed,Order placed by Rayyan Rizwan
81,1316,71,259,2024-09-10,2024-09-18,2024-09-15,Delivered,Standard,,285598.12,42839.72,329,24266.88,304499.95,Cash,Completed,Order placed by Yusuf Hashmi
82,596,34,286,2025-06-14,2025-06-22,2025-06-20,Shipped,Standard,,220942.21,33141.33,21,26542.79,227561.76,Mobile Banking,Completed,Order placed by Ayesha Hassan
83,1714,65,240,2025-01-06,2025-01-17,,Pending,Same Day,,358790.93,53818.64,130,70795.07,341944.49,Bank Transfer,Pending,Order placed by Amaan Rizwan
84,1284,50,160,2023-10-14,2023-10-15,2023-10-18,Delivered,Pickup,,137555.12,20633.27,483,6703.88,151967.5,JazzCash,Completed,Order placed by Amaan Naeem
85,1064,69,151,2024-06-25,2024-07-07,,Processing,Express,,205838.9,30875.84,426,11832.1,225308.64,Cash,Pending,Order placed by Sadia Saeed
86,955,32,261,2024-01-28,2024-01-30,2024-02-01,Shipped,Standard,,142801.31,21420.2,216,16021.69,148415.82,Cash,Completed,Order placed by Amaan Akhtar
87,802,17,48,2025-08-24,2025-09-03,2025-08-25,Shipped,Standard,,151493.58,22724.04,469,16442.42,158244.19,Credit Card,Completed,Order placed by Ayan Tariq
88,1880,8,230,2025-06-21,2025-06-25,2025-06-28,Delivered,Same Day,,290943.05,43641.46,135,16722.95,317996.56,Cash,Completed,Order placed by Alina Ahmed
89,769,47,215,2024-01-08,2024-01-13,2024-01-09,Delivered,Same Day,,370634.71,55595.21,226,30297.29,396158.62,Debit Card,Completed,Order placed by Zoya Farooq
90,1562,5,273,2025-07-25,2025-08-03,2025-07-30,Shipped,Same Day,,489181.72,73377.26,285,44400.28,518443.71,Credit Card,Completed,Order placed by Hania Rizvi
91,262,26,83,2024-11-24,2024-12-03,2024-12-01,Delivered,Pickup,,195330.07,29299.51,181,1044.93,223765.64,JazzCash,Completed,Order placed by Shahzad Nadeem
92,1128,52,253,2024-02-23,2024-03-07,2024-02-28,Shipped,Pickup,,142185.56,21327.83,327,4738.44,159101.96,JazzCash,Completed,Order placed by Muhammad Naqvi
93,590,15,40,2025-02-21,2025-02-22,2025-02-24,Delivered,Courier,,422664.57,63399.69,480,77062.43,409481.83,Credit Card,Completed,Order placed by Nida Saeed
94,1267,25,292,2025-06-20,2025-06-27,2025-06-24,Delivered,Pickup,,332364.64,49854.7,99,55834.36,326483.97,Bank Transfer,Completed,Order placed by Ayan Khan
95,962,59,288,2023-10-23,2023-10-29,2023-10-28,Delivered,Pickup,,138261.61,20739.24,197,21503.39,137694.47,JazzCash,Completed,Order placed by Zoya Zahid
96,1961,23,8,2025-01-16,2025-01-30,,Processing,Courier,,316129.29,47419.39,171,12262.71,351456.97,JazzCash,Pending,Order placed by Yusuf Khan
97,923,62,101,2023-11-02,2023-11-07,2023-11-04,Delivered,Express,,231982.1,34797.31,162,14475.9,252465.51,Debit Card,Completed,Order placed by Shahzad Naqvi
98,264,64,123,2025-03-16,2025-03-24,,Pending,Same Day,,89735.46,13460.32,318,704.54,102809.24,JazzCash,Pending,Order placed by Ayan Saleem
99,800,22,222,2025-07-08,2025-07-21,2025-07-14,Shipped,Courier,,185292.53,27793.88,26,42998.47,170113.95,JazzCash,Completed,Order placed by Mahnoor Iqbal
100,1483,16,231,2024-11-01,2024-11-15,2024-11-03,Delivered,Standard,,146425.56,21963.83,78,23598.44,144868.95,Cash,Completed,Order placed by Hamza Khan
101,1838,49,175,2024-10-30,2024-11-05,2024-11-04,Shipped,Courier,,116289.52,17443.43,369,12434.48,121667.47,Mobile Banking,Completed,Order placed by Yusuf Siddiqui
102,1807,36,72,2024-07-30,2024-08-09,2024-08-02,Shipped,Standard,,231686.69,34753.0,149,31152.31,235436.38,JazzCash,Completed,Order placed by Hussein Siddiqui
103,1884,72,167,2024-12-21,2024-12-29,2024-12-28,Delivered,Same Day,,84142.35,12621.35,177,15968.65,80972.04,Bank Transfer,Completed,Order placed by Sadia Qureshi
104,1415,29,239,2025-07-06,2025-07-19,2025-07-09,Shipped,Standard,,60404.72,9060.71,455,10184.28,59736.16,Credit Card,Completed,Order placed by Shahzad Ali
105,715,19,196,2023-10-30,2023-11-03,2023-11-04,Delivered,Express,,56425.98,8463.9,407,10076.02,55220.86,JazzCash,Completed,Order placed by Hafsa Zahid
106,1282,12,245,2024-12-03,2024-12-07,2024-12-06,Delivered,Express,,478767.81,71815.17,292,43980.19,506894.79,Mobile Banking,Completed,Order placed by Haris Qureshi
107,1235,45,70,2024-08-20,2024-08-29,,Pending,Same Day,,51571.9,7735.78,211,1139.1,58379.58,Credit Card,Pending,Order placed by Muhammad Ahmed
108,1034,25,21,2024-05-29,2024-06-11,2024-06-05,Delivered,Courier,,194002.73,29100.41,401,29767.27,193736.86,Debit Card,Completed,Order placed by Zara Rashid
109,1975,70,13,2024-01-29,2024-02-11,2024-02-02,Delivered,Courier,,325644.8,48846.72,158,25642.2,349007.32,Debit Card,Completed,Order placed by Hussein Naeem
110,1227,47,99,2025-08-20,2025-08-27,,Processing,Standard,,8229.8,1234.47,188,505.2,9147.07,JazzCash,Pending,Order placed by Bilal Shah
111,74,8,208,2024-04-02,2024-04-08,2024-04-03,Delivered,Pickup,,366592.17,54988.83,390,33328.83,388642.16,JazzCash,Completed,Order placed by Sadia Jafri
112,25,19,61,2023-10-07,2023-10-11,2023-10-12,Shipped,Express,,424430.5,63664.57,315,48665.5,439744.57,JazzCash,Completed,Order placed by Arham Farooq
113,1165,39,67,2025-03-25,2025-03-29,2025-03-29,Shipped,Express,,284972.81,42745.92,1,38743.19,288976.53,Credit Card,Completed,Order placed by Umar Waseem
114,202,24,69,2023-12-31,2024-01-03,,Pending,Standard,,258897.67,38834.65,426,23530.33,274627.99,Credit Card,Pending,Order placed by Bilal Khan
115,1397,65,284,2024-01-19,2024-01-29,2024-01-22,Shipped,Courier,,215492.95,32323.94,251,20836.05,227231.84,JazzCash,Completed,Order placed by Maryam Abbas
116,538,13,274,2025-08-10,2025-08-14,2025-08-12,Shipped,Pickup,,234287.94,35143.19,98,34501.06,235028.06,Debit Card,Completed,Order placed by Hussein Jafri
117,1773,28,113,2024-02-04,2024-02-16,,Pending,Pickup,,421603.14,63240.47,135,53589.86,431388.76,Credit Card,Pending,Order placed by Rabia Tariq
118,1368,56,244,2025-01-15,2025-01-25,2025-01-16,Shipped,Same Day,,14891.83,2233.78,1,2343.17,14783.44,Bank Transfer,Completed,Order placed by Amaan Rizwan
119,1431,40,195,2024-02-03,2024-02-16,2024-02-04,Shipped,Pickup,,153777.7,23066.65,344,25856.3,151332.05,Debit Card,Completed,Order placed by Ahmed Jafri
120,1757,54,300,2024-12-05,2024-12-06,,Pending,Courier,,97275.61,14591.34,90,13125.39,98831.55,EasyPaisa,Pending,Order placed by Zoya Tariq
121,1948,69,217,2025-07-12,2025-07-21,2025-07-16,Delivered,Courier,,389078.93,58361.84,266,57519.07,390187.71,Mobile Banking,Completed,Order placed by Amina Akhtar
122,905,55,34,2024-02-03,2024-02-16,2024-02-10,Delivered,Pickup,,231022.59,34653.39,21,31913.41,233783.57,JazzCash,Completed,Order placed by Hania Nadeem
123,966,28,113,2024-09-19,2024-09-24,2024-09-23,Delivered,Standard,,138515.1,20777.26,299,29740.9,129850.46,Credit Card,Completed,Order placed by Mariam Ali
124,900,24,164,2024-11-12,2024-11-21,2024-11-19,Shipped,Express,,182518.46,27377.77,425,10541.54,199779.69,Bank Transfer,Completed,Order placed by Sadia Farooq
125,1219,73,2,2023-11-25,2023-11-28,2023-12-02,Shipped,Courier,,424370.69,63655.6,82,56796.31,431311.99,Credit Card,Completed,Order placed by Zain Abbas
126,1814,42,272,2025-06-04,2025-06-18,2025-06-09,Shipped,Pickup,,101283.45,15192.52,188,21671.55,94992.42,Mobile Banking,Completed,Order placed by Abdullah Iqbal
127,1431,72,267,2024-12-22,2025-01-05,2024-12-25,Shipped,Same Day,,223409.19,33511.38,309,7206.81,250022.75,Cash,Completed,Order placed by Ahmed Jafri
128,492,75,119,2024-10-20,2024-10-22,2024-10-24,Shipped,Pickup,,615918.42,92387.76,314,51194.58,657425.61,JazzCash,Completed,Order placed by Muhammad Naqvi
129,444,57,62,2024-07-25,2024-08-06,2024-07-28,Shipped,Express,,284881.91,42732.29,405,39690.09,288329.1,Debit Card,Completed,Order placed by Haris Farooq
130,820,59,288,2025-01-04,2025-01-06,2025-01-11,Shipped,Courier,,410760.65,61614.1,254,47203.35,425425.4,Debit Card,Completed,Order placed by Amaan Rizvi
131,1857,28,113,2025-07-05,2025-07-06,,Processing,Standard,,122699.86,18404.98,327,20564.14,120867.71,Debit Card,Pending,Order placed by Fatima Hussain
132,1149,27,250,2024-07-11,2024-07-23,2024-07-16,Delivered,Pickup,,457165.45,68574.82,428,37617.55,488550.71,EasyPaisa,Completed,Order placed by Umar Shah
133,443,65,240,2024-06-01,2024-06-14,2024-06-06,Delivered,Courier,,31773.16,4765.97,57,5213.84,31382.29,EasyPaisa,Completed,Order placed by Hamza Khalid
134,1759,7,104,2025-04-15,2025-04-24,2025-04-17,Delivered,Pickup,,10725.44,1608.82,370,1779.56,10924.7,Debit Card,Completed,Order placed by Ayan Naeem
135,1593,50,177,2024-03-19,2024-03-21,2024-03-25,Shipped,Pickup,,98181.83,14727.27,91,15740.17,97259.94,Cash,Completed,Order placed by Shahzad Zaidi
136,539,60,6,2025-04-22,2025-05-02,2025-04-29,Shipped,Same Day,,217423.68,32613.55,420,12423.32,238033.9,Bank Transfer,Completed,Order placed by Jannat Malik
137,979,51,17,2024-07-13,2024-07-16,2024-07-18,Shipped,Standard,,333978.91,50096.84,360,17271.09,367164.65,Mobile Banking,Completed,Order placed by Ahmed Khalid
138,248,62,101,2025-03-23,2025-03-31,2025-03-25,Delivered,Courier,,16489.47,2473.42,116,715.53,18363.36,Credit Card,Completed,Order placed by Hafsa Hashmi
139,1302,67,68,2025-08-14,2025-08-17,2025-08-18,Shipped,Pickup,,166282.16,24942.32,156,15656.84,175723.65,Mobile Banking,Completed,Order placed by Ayan Tariq
140,862,6,194,2024-07-30,2024-08-10,2024-08-02,Shipped,Standard,,282798.5,42419.77,22,16343.5,308896.77,Cash,Completed,Order placed by Hania Raza
141,170,27,250,2023-11-11,2023-11-17,2023-11-17,Delivered,Express,,81419.45,12212.92,176,5010.55,88797.82,EasyPaisa,Completed,Order placed by Zayan Tariq
142,1754,9,89,2023-09-25,2023-10-05,,Processing,Same Day,,78824.49,11823.67,129,11877.51,78899.65,Cash,Pending,Order placed by Amina Hussain
143,927,66,276,2025-04-14,2025-04-22,2025-04-15,Shipped,Standard,,123989.02,18598.35,423,15712.98,127297.39,Mobile Banking,Completed,Order placed by Sadia Zaidi
144,1189,31,12,2024-09-19,2024-09-22,2024-09-22,Delivered,Pickup,,250725.56,37608.83,51,3879.44,284505.96,Cash,Completed,Order placed by Muhammad Shah
145,167,41,20,2025-04-01,2025-04-10,2025-04-06,Delivered,Same Day,,243598.32,36539.75,239,21575.68,258801.39,Mobile Banking,Completed,Order placed by Zara Saeed
146,946,20,224,2023-12-26,2024-01-02,2023-12-30,Delivered,Standard,,382700.06,57405.01,322,32538.94,407888.14,Cash,Completed,Order placed by Rabia Naqvi
147,824,9,138,2025-01-12,2025-01-18,2025-01-17,Delivered,Standard,,10561.11,1584.17,236,262.89,12118.39,Mobile Banking,Completed,Order placed by Ibrahim Zaidi
148,1451,23,189,2024-04-06,2024-04-17,2024-04-09,Delivered,Express,,119145.14,17871.77,440,9248.86,128208.06,Bank Transfer,Completed,Order placed by Muhammad Jafri
149,687,45,60,2024-11-13,2024-11-15,2024-11-16,Shipped,Express,,363148.16,54472.22,473,15494.84,402598.55,Mobile Banking,Completed,Order placed by Rabia Shah
150,363,60,187,2025-04-21,2025-05-05,2025-04-23,Shipped,Express,,115241.56,17286.23,380,8126.44,124781.35,Credit Card,Completed,Order placed by Yusuf Iqbal
151,1829,60,6,2023-10-16,2023-10-23,2023-10-17,Delivered,Express,,217095.44,32564.32,493,31200.56,218952.19,Bank Transfer,Completed,Order placed by Ayesha Hussain
152,498,32,64,2025-02-12,2025-02-16,2025-02-13,Delivered,Standard,,37431.57,5614.74,44,3956.43,39133.87,JazzCash,Completed,Order placed by Jannat Iqbal
153,1387,48,115,2025-08-18,2025-08-29,,Processing,Express,,429287.34,64393.1,255,44231.66,449703.77,EasyPaisa,Pending,Order placed by Mariam Abbas
154,1239,25,21,2024-12-16,2024-12-30,,Pending,Standard,,247117.54,37067.63,275,28365.46,256094.7,EasyPaisa,Pending,Order placed by Zoya Hussain
155,1003,26,83,2025-07-06,2025-07-19,2025-07-13,Delivered,Courier,,44054.53,6608.18,94,3657.47,47099.23,JazzCash,Completed,Order placed by Hamza Abbas
156,1444,18,170,2025-06-22,2025-06-30,2025-06-23,Shipped,Same Day,,35892.92,5383.94,211,6233.08,35254.77,Bank Transfer,Completed,Order placed by Shahzad Akhtar
157,699,10,214,2024-07-20,2024-07-30,2024-07-27,Delivered,Standard,,32673.45,4901.02,497,6533.55,31537.92,Cash,Completed,Order placed by Alina Raza
158,1482,61,74,2024-02-11,2024-02-14,2024-02-15,Shipped,Express,,55690.61,8353.59,253,244.39,64052.81,EasyPaisa,Completed,Order placed by Amaan Rizvi
159,1180,63,24,2024-04-22,2024-05-06,2024-04-29,Shipped,Express,,63264.31,9489.65,452,7792.69,65413.27,Credit Card,Completed,Order placed by Muhammad Jafri
160,331,68,135,2023-11-27,2023-12-09,2023-12-03,Shipped,Express,,213734.25,32060.14,339,29974.75,216158.64,Cash,Completed,Order placed by Muhammad Iqbal
