CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,DATE_OF_BIRTH,GENDER,MARITAL_STATUS,EDUCATION_LEVEL,ANNUAL_INCOME,CUSTOMER_SEGMENT,REGISTRATION_DATE,IS_ACTIVE
97,Ayan,Zaidi,ayan.zaidi@gmail.com,+92-304-4365409,1957-02-05,M,Married,Primary,2062956,Premium,2021-06-08,True
98,Amina,Hassan,amina.hassan@outlook.com,+92-317-9884431,1968-11-01,Other,Married,Master,239696,Occasional,2020-10-08,True
99,Ali,Rizvi,ali.rizvi@outlook.com,+92-309-7283970,1953-03-02,M,Divorced,Higher Secondary,1809642,Premium,2024-11-30,True
100,Zara,Rizvi,zara.rizvi@outlook.com,+92-346-4609631,2006-06-03,M,Widowed,Primary,355837,Occasional,2022-05-28,False
101,Rayyan,Farooq,rayyan.farooq@outlook.com,+92-307-4816764,1959-11-23,F,Married,Primary,2963538,Premium,2023-07-26,True
102,Haris,Siddiqui,haris.siddiqui@yahoo.com,+92-349-6467800,2000-02-17,Other,Married,Secondary,452941,Occasional,2022-10-07,True
103,Usman,Rizvi,usman.rizvi@hotmail.com,+92-309-9237646,1973-01-18,F,Single,Higher Secondary,1468815,Regular,2023-05-28,True
104,Abdullah,Rizvi,abdullah.rizvi@yahoo.com,+92-336-6710268,1984-07-14,Other,Single,Primary,974972,Regular,2024-04-10,True
105,Ahmed,Ahmed,ahmed.ahmed@yahoo.com,+92-335-1226924,1991-04-20,M,Single,Secondary,572263,Regular,2022-05-02,True
106,Jannat,Farooq,jannat.farooq@gmail.com,+92-317-5473184,1979-08-23,F,Widowed,Higher Secondary,844494,Regular,2021-04-27,False
107,Hussein,Abbas,hussein.abbas@yahoo.com,+92-345-6297145,1969-08-23,M,Widowed,Other,660107,Regular,2025-03-11,True
108,Yusuf,Saeed,yusuf.saeed@gmail.com,+92-336-8863473,1999-10-05,M,Married,Primary,857323,Regular,2020-11-22,False
109,Sana,Nadeem,sana.nadeem@hotmail.com,+92-346-1894149,1996-03-14,F,Single,Secondary,929205,Regular,2024-08-07,True
110,Amina,Ahmed,amina.ahmed@yahoo.com,+92-314-3111323,1995-04-26,Other,Single,Other,1394438,Regular,2024-03-19,True
111,Zayan,Raza,zayan.raza@hotmail.com,+92-301-8882927,1999-04-20,Other,Divorced,Secondary,286639,Occasional,2025-01-02,True
112,Zayan,Iqbal,zayan.iqbal@yahoo.com,+92-312-2857358,1971-10-08,F,Divorced,Bachelor,3124999,Premium,2020-10-25,True
113,Maryam,Ahmed,maryam.ahmed@gmail.com,+92-316-2607921,1989-01-27,Other,Single,Higher Secondary,329505,Occasional,2023-07-22,False
114,Abdullah,Khalid,abdullah.khalid@outlook.com,+92-310-7686678,1947-03-28,Other,Married,Bachelor,1310400,Regular,2024-08-13,True
115,Zara,Tariq,zara.tariq@outlook.com,+92-310-8354576,1949-07-14,F,Widowed,Secondary,818107,Regular,2021-05-03,False
116,Mahnoor,Akhtar,mahnoor.akhtar@gmail.com,+92-309-7060037,2000-11-16,M,Divorced,Master,1018382,Regular,2023-10-26,True
117,Zain,Zahid,zain.zahid@outlook.com,+92-325-9831159,2002-11-26,F,Widowed,PhD,948038,Regular,2021-11-13,False
118,Zayan,Zahid,zayan.zahid@yahoo.com,+92-318-5033985,1966-05-27,M,Widowed,PhD,289832,Occasional,2023-07-17,True
119,Aisha,Hashmi,aisha.hashmi@yahoo.com,+92-303-5924369,1944-11-10,F,Widowed,Higher Secondary,522876,Occasional,2021-11-20,False
120,Zoya,Khan,zoya.khan@hotmail.com,+92-314-4713732,1975-07-27,M,Widowed,Higher Secondary,504038,Regular,2020-11-15,True
121,Rabia,Nadeem,rabia.nadeem@hotmail.com,+92-347-4231016,1959-10-07,F,Single,PhD,873929,Regular,2022-03-02,True
122,Zain,Akhtar,zain.akhtar@outlook.com,+92-302-5182992,1987-05-18,M,Widowed,Master,286033,Occasional,2021-02-06,True
123,Rabia,Rizwan,rabia.rizwan@outlook.com,+92-349-8512531,1972-11-03,Other,Married,Other,1404077,Regular,2021-03-07,True
124,Hafsa,Naeem,hafsa.naeem@yahoo.com,+92-313-7214090,1960-02-22,Other,Widowed,Primary,4057840,Premium,2023-11-01,True
125,Sumaya,Farooq,sumaya.farooq@yahoo.com,+92-321-1639057,1961-03-27,F,Widowed,Master,1464955,Regular,2023-02-28,True
126,Rayyan,Waseem,rayyan.waseem@gmail.com,+92-328-8202348,1997-06-03,F,Single,Other,887725,Regular,2023-03-14,True
127,Shahzad,Saeed,shahzad.saeed@outlook.com,+92-306-7377974,1993-02-27,F,Single,Primary,905742,Regular,2022-03-26,True
128,Muhammad,Hassan,muhammad.hassan@gmail.com,+92-312-9121801,1952-03-24,M,Widowed,Other,824271,Regular,2021-11-13,False
129,Maryam,Waseem,maryam.waseem@hotmail.com,+92-335-2438201,1984-12-25,M,Widowed,Other,861434,Regular,2021-01-23,True
130,Sana,Akhtar,sana.akhtar@hotmail.com,+92-327-2264953,1956-07-18,F,Single,Other,798485,Regular,2023-07-07,True
131,Zoya,Rashid,zoya.rashid@outlook.com,+92-328-6531619,1951-02-18,Other,Widowed,Higher Secondary,493008,Occasional,2023-11-24,True
132,Mahnoor,Zaidi,mahnoor.zaidi@outlook.com,+92-320-7245099,1995-11-20,M,Widowed,PhD,646993,Regular,2023-03-29,True
133,Shahzad,Rehman,shahzad.rehman@outlook.com,+92-318-8256933,1975-01-24,M,Single,Higher Secondary,812148,Regular,2022-03-14,True
134,Rabia,Waseem,rabia.waseem@hotmail.com,+92-312-2764713,1986-10-16,M,Widowed,PhD,985036,Regular,2024-03-15,True
135,Maryam,Naeem,maryam.naeem@gmail.com,+92-318-5225561,1999-08-14,Other,Widowed,Master,395582,Occasional,2025-08-10,True
136,Hafsa,Hashmi,hafsa.hashmi@outlook.com,+92-306-3624219,1993-11-10,Other,Single,Secondary,788863,Occasional,2022-11-15,False
137,Amina,Nadeem,amina.nadeem@outlook.com,+92-322-6399146,1990-12-23,M,Married,Bachelor,760993,Occasional,2020-11-02,False
138,Mariam,Waseem,mariam.waseem@hotmail.com,+92-302-4213853,1967-04-07,F,Widowed,Higher Secondary,554679,Occasional,2021-06-24,True
139,Yusuf,Rehman,yusuf.rehman@hotmail.com,+92-329-3622037,1954-02-15,Other,Married,Primary,1017170,Regular,2025-03-19,False
140,Ahmed,Rashid,ahmed.rashid@hotmail.com,+92-325-9722007,1994-12-01,F,Divorced,Master,497533,Occasional,2023-11-27,False
141,Ayan,Saleem,ayan.saleem@hotmail.com,+92-324-7054618,1958-02-26,F,Widowed,PhD,578613,Regular,2020-11-27,True
142,Haris,Zahid,haris.zahid@yahoo.com,+92-316-9895168,1988-06-02,Other,Single,Other,3001389,Premium,2020-11-09,True
143,Mariam,Saleem,mariam.saleem@gmail.com,+92-322-5195632,1986-09-24,M,Divorced,Primary,1443011,Regular,2020-09-30,True
144,Mahnoor,Saeed,mahnoor.saeed@outlook.com,+92-330-8101031,1970-05-24,M,Divorced,Primary,247200,Occasional,2025-05-15,False
145,Rayyan,Shah,rayyan.shah@gmail.com,+92-345-3918719,1961-04-01,Other,Widowed,Higher Secondary,1158886,Regular,2021-02-16,False
146,Haris,Jafri,haris.jafri@outlook.com,+92-324-8910099,1969-02-10,F,Divorced,Bachelor,567839,Occasional,2024-10-28,True
147,Sadia,Hashmi,sadia.hashmi@yahoo.com,+92-348-8550460,1985-07-06,M,Widowed,Bachelor,1026346,Regular,2021-06-01,True
148,Yusuf,Farooq,yusuf.farooq@yahoo.com,+92-312-4466408,2006-08-07,M,Widowed,Bachelor,531376,Regular,2023-12-10,False
149,Hafsa,Rizvi,hafsa.rizvi@yahoo.com,+92-317-1942709,1961-10-17,F,Married,Other,1054008,Regular,2025-08-09,False
150,Mariam,Ahmed,mariam.ahmed@gmail.com,+92-343-3278545,1958-06-13,Other,Single,Master,3300438,Premium,2020-12-24,False
151,Zain,Saleem,zain.saleem@outlook.com,+92-302-2857764,1950-04-12,M,Married,Secondary,1085541,Regular,2023-04-26,True
152,Mariam,Jafri,mariam.jafri@hotmail.com,+92-349-7829243,1983-10-09,M,Divorced,Master,1364590,Regular,2022-12-13,True
153,Jannat,Rizvi,jannat.rizvi@yahoo.com,+92-310-2262004,1944-05-03,M,Single,Higher Secondary,764110,Occasional,2024-07-29,True
154,Ahmed,Farooq,ahmed.farooq@gmail.com,+92-339-5401852,1950-10-12,M,Single,PhD,1444835,Regular,2024-01-23,True
155,Ali,Nadeem,ali.nadeem@hotmail.com,+92-328-4315970,1989-04-15,M,Divorced,Higher Secondary,1647288,Premium,2021-01-26,True
156,Zara,Siddiqui,zara.siddiqui@hotmail.com,+92-300-2342770,1973-05-02,Other,Married,Primary,318850,Occasional,2022-01-05,True
157,Mahnoor,Qureshi,mahnoor.qureshi@hotmail.com,+92-306-5572838,1990-04-17,Other,Widowed,Primary,943060,Regular,2020-10-10,True
158,Sumaya,Zaidi,sumaya.zaidi@yahoo.com,+92-337-2757266,1967-02-26,F,Widowed,Other,1096706,Regular,2021-09-23,True
159,Ibrahim,Ahmed,ibrahim.ahmed@gmail.com,+92-316-6083506,1992-03-15,Other,Married,PhD,926817,Regular,2021-02-10,True
160,Rabia,Rizwan,rabia.rizwan@hotmail.com,+92-326-8728009,1978-05-21,Other,Single,Higher Secondary,1124756,Regular,2023-08-09,True
161,Zain,Hussain,zain.hussain@hotmail.com,+92-338-5575751,1944-09-15,M,Divorced,PhD,701725,Regular,2022-10-06,False
162,Hassan,Naqvi,hassan.naqvi@outlook.com,+92-334-7033178,1973-05-24,Other,Single,Master,824975,Regular,2023-04-11,True
163,Maryam,Abbas,maryam.abbas@gmail.com,+92-329-5627676,1978-08-28,Other,Married,Higher Secondary,954838,Regular,2024-12-05,True
164,Hafsa,Nadeem,hafsa.nadeem@gmail.com,+92-313-6537227,1984-07-25,M,Divorced,Bachelor,734492,Regular,2020-11-06,False
165,Hania,Hassan,hania.hassan@gmail.com,+92-331-7611166,1964-10-27,F,Divorced,Higher Secondary,1245922,Regular,2020-11-18,False
166,Rayyan,Hassan,rayyan.hassan@yahoo.com,+92-303-1495361,1984-11-12,Other,Single,Bachelor,999840,Regular,2021-01-01,True
167,Zara,Saeed,zara.saeed@gmail.com,+92-334-7587365,1964-12-22,M,Married,Higher Secondary,1058260,Regular,2024-08-22,True
168,Bilal,Hashmi,bilal.hashmi@hotmail.com,+92-349-8924955,1957-12-01,M,Widowed,Bachelor,489233,Occasional,2025-05-13,True
169,Hussein,Abbas,hussein.abbas@gmail.com,+92-344-7030572,1975-10-21,F,Divorced,Higher Secondary,1314455,Regular,2022-05-04,True
170,Zayan,Tariq,zayan.tariq@gmail.com,+92-310-5564240,1974-04-04,F,Divorced,Master,735872,Occasional,2025-03-03,True
171,Noor,Naqvi,noor.naqvi@outlook.com,+92-342-6302914,1977-06-11,F,Single,PhD,1050536,Regular,2024-03-02,True
172,Jannat,Farooq,jannat.farooq@gmail.com,+92-339-2960964,2005-05-13,F,Divorced,PhD,536223,Occasional,2022-09-16,True
173,Umar,Abbas,umar.abbas@hotmail.com,+92-348-6668985,1972-04-21,Other,Divorced,Secondary,301548,Occasional,2024-05-28,True
174,Aisha,Shah,aisha.shah@yahoo.com,+92-305-6808490,1983-01-12,M,Single,PhD,1480197,Regular,2022-09-10,False
175,Hania,Ahmed,hania.ahmed@hotmail.com,+92-349-7920643,1985-06-07,Other,Single,Higher Secondary,736644,Occasional,2024-11-09,True
176,Mahnoor,Iqbal,mahnoor.iqbal@gmail.com,+92-317-8382906,1965-07-17,M,Widowed,Primary,443668,Occasional,2020-09-04,True
177,Hafsa,Zahid,hafsa.zahid@outlook.com,+92-334-2446563,2002-06-21,F,Single,Other,533259,Occasional,2023-04-11,False
178,Muhammad,Waseem,muhammad.waseem@outlook.com,+92-314-8940057,1973-07-02,Other,Divorced,Primary,596137,Occasional,2021-12-27,True
179,Ibrahim,Saleem,ibrahim.saleem@outlook.com,+92-319-2311850,1968-06-08,M,Divorced,Primary,276658,Occasional,2022-06-03,False
180,Maryam,Khalid,maryam.khalid@yahoo.com,+92-347-8708324,2006-03-18,M,Single,Master,3288377,Premium,2020-09-27,False
181,Ibrahim,Hussain,ibrahim.hussain@outlook.com,+92-329-6343321,1995-09-18,Other,Divorced,Secondary,892676,Regular,2023-01-09,False
182,Yusuf,Rizwan,yusuf.rizwan@gmail.com,+92-337-9392505,1960-12-03,M,Married,Secondary,1107294,Regular,2024-10-10,False
183,Shahzad,Farooq,shahzad.farooq@outlook.com,+92-332-1499340,1987-06-10,M,Divorced,Other,1197408,Regular,2021-03-29,True
184,Jannat,Khan,jannat.khan@yahoo.com,+92-326-6189432,1955-06-18,Other,Widowed,Bachelor,644740,Regular,2021-06-26,True
185,Sana,Raza,sana.raza@gmail.com,+92-306-9744793,1987-08-12,M,Divorced,PhD,4087875,Premium,2022-09-05,True
186,Ayesha,Zaidi,ayesha.zaidi@hotmail.com,+92-340-6886252,1947-09-27,Other,Divorced,Secondary,578148,Regular,2024-06-28,True
187,Mahnoor,Siddiqui,mahnoor.siddiqui@yahoo.com,+92-331-9303675,1969-05-02,Other,Widowed,Master,781187,Regular,2024-07-06,True
188,Umar,Zahid,umar.zahid@hotmail.com,+92-315-7920582,1961-06-03,M,Divorced,Primary,1212731,Regular,2024-10-26,True
189,Hussein,Iqbal,hussein.iqbal@gmail.com,+92-309-8836690,1976-06-19,F,Divorced,Other,631295,Regular,2024-04-21,True
190,Shahzad,Malik,shahzad.malik@outlook.com,+92-321-7237606,1980-06-16,Other,Widowed,Higher Secondary,1171672,Regular,2025-08-23,False
191,Maryam,Nadeem,maryam.nadeem@yahoo.com,+92-330-8963370,1975-09-05,Other,Widowed,Master,783705,Regular,2021-06-24,False
192,Jannat,Khan,jannat.khan@gmail.com,+92-341-5696969,2000-05-26,M,Divorced,Secondary,1385626,Regular,2021-02-23,False
193,Ayan,Nadeem,ayan.nadeem@gmail.com,+92-329-7924942,1952-07-03,Other,Divorced,PhD,623778,Occasional,2021-02-14,False
194,Noor,Hassan,noor.hassan@yahoo.com,+92-325-6987749,2006-07-11,Other,Widowed,Other,267524,Occasional,2024-01-18,False
