ADDRESS_ID,CUSTOMER_ID,ADDRESS_TYPE,STREET_ADDRESS,CITY,PROVINCE,POSTAL_CODE,COUNTRY,IS_DEFAULT
73,59,Primary,Block C College Road,Abbottabad,Khyber Pakhtunkhwa,84935,Pakistan,True
74,60,Primary,Block A Cantt,Quetta,Balochistan,13463,Pakistan,True
75,60,Secondary,House 172 Industrial Area,Hyderabad,Sindh,98167,Pakistan,False
76,61,Primary,House 905 Bahria Town,Sialkot,Punjab,25365,Pakistan,True
77,61,Secondary,House 132 Mall Road,Kotli,Azad Kashmir,61576,Pakistan,False
78,62,Primary,195 College Road,Mansehra,Khyber Pakhtunkhwa,61952,Pakistan,True
79,62,Secondary,House 27 College Road,Abbottabad,Khyber Pakhtunkhwa,26080,Pakistan,False
80,63,Primary,House 886 Defence Housing,Mansehra,Khyber Pakhtunkhwa,68571,Pakistan,True
81,64,Primary,Block A Defence Housing,Mirpur,Azad Kashmir,69453,Pakistan,True
82,65,Primary,House 363 Main Boulevard,Skardu,Gilgit-Baltistan,77907,Pakistan,True
83,65,Secondary,Block D Main Boulevard,Mirpur,Azad Kashmir,15267,Pakistan,False
84,66,Primary,157 Johar Town,Mirpur,Azad Kashmir,79398,Pakistan,True
85,67,Primary,Block D Mall Road,Gilgit,Gilgit-Baltistan,93987,Pakistan,True
86,68,Primary,462 Industrial Area,Chaman,Balochistan,81322,Pakistan,True
87,68,Secondary,House 953 Johar Town,Mirpur,Azad Kashmir,10187,Pakistan,False
88,69,Primary,94 Gulberg,Swat,Khyber Pakhtunkhwa,73190,Pakistan,True
89,70,Primary,Block C Cantt,Swat,Khyber Pakhtunkhwa,87589,Pakistan,True
90,71,Primary,Block C College Road,Abbottabad,Khyber Pakhtunkhwa,56070,Pakistan,True
91,72,Primary,House 157 Defence Housing,Mirpur Khas,Sindh,85229,Pakistan,True
92,73,Primary,964 Industrial Area,Abbottabad,Khyber Pakhtunkhwa,91224,Pakistan,True
93,74,Primary,House 143 Bahria Town,Mardan,Khyber Pakhtunkhwa,48643,Pakistan,True
94,74,Secondary,Block B Park Road,Khuzdar,Balochistan,36366,Pakistan,False
95,75,Primary,Block A Industrial Area,Nowshera,Khyber Pakhtunkhwa,73968,Pakistan,True
96,75,Secondary,Block B Saddar,Peshawar,Khyber Pakhtunkhwa,76323,Pakistan,False
97,76,Primary,Block C Industrial Area,Sargodha,Punjab,64389,Pakistan,True
98,77,Primary,351 Main Boulevard,Chaman,Balochistan,19824,Pakistan,True
99,77,Secondary,884 Mall Road,Gilgit,Gilgit-Baltistan,75768,Pakistan,False
100,78,Primary,Block A Cantt,Nowshera,Khyber Pakhtunkhwa,87115,Pakistan,True
101,79,Primary,Block E Clifton,Hyderabad,Sindh,93240,Pakistan,True
102,80,Primary,Block B Industrial Area,Quetta,Balochistan,85943,Pakistan,True
103,81,Primary,Block A Clifton,Kotli,Azad Kashmir,89921,Pakistan,True
104,82,Primary,House 234 DHA,Sargodha,Punjab,65249,Pakistan,True
105,83,Primary,Block D DHA,Mirpur Khas,Sindh,67339,Pakistan,True
106,84,Primary,Block E Saddar,Mirpur Khas,Sindh,19299,Pakistan,True
107,85,Primary,860 Bahria Town,Mirpur,Azad Kashmir,77378,Pakistan,True
108,85,Secondary,649 DHA,Chilas,Gilgit-Baltistan,17777,Pakistan,False
109,86,Primary,Block B University Road,Larkana,Sindh,27261,Pakistan,True
110,86,Secondary,390 Saddar,Skardu,Gilgit-Baltistan,76201,Pakistan,False
111,87,Primary,House 459 Model Town,Mansehra,Khyber Pakhtunkhwa,69771,Pakistan,True
112,88,Primary,550 DHA,Chilas,Gilgit-Baltistan,87146,Pakistan,True
113,89,Primary,Block D Cantt,Khuzdar,Balochistan,40644,Pakistan,True
114,89,Secondary,House 38 Cantt,Sialkot,Punjab,92995,Pakistan,False
115,90,Primary,Block A Mall Road,Gilgit,Gilgit-Baltistan,95094,Pakistan,True
116,91,Primary,173 Saddar,Chilas,Gilgit-Baltistan,77379,Pakistan,True
117,91,Secondary,House 197 Main Boulevard,Gwadar,Balochistan,44678,Pakistan,False
118,92,Primary,House 961 Johar Town,Khuzdar,Balochistan,52803,Pakistan,True
119,93,Primary,Block C Model Town,Sialkot,Punjab,42293,Pakistan,True
120,94,Primary,Block A Industrial Area,Sukkur,Sindh,87256,Pakistan,True
121,95,Primary,House 84 Cantt,Kotli,Azad Kashmir,69315,Pakistan,True
122,96,Primary,Block E Industrial Area,Mardan,Khyber Pakhtunkhwa,33409,Pakistan,True
123,97,Primary,Block B DHA,Chilas,Gilgit-Baltistan,72661,Pakistan,True
124,98,Primary,Block B Clifton,Khuzdar,Balochistan,20343,Pakistan,True
125,98,Secondary,House 207 Johar Town,Rawalakot,Azad Kashmir,55353,Pakistan,False
126,99,Primary,Block E Clifton,Sialkot,Punjab,86782,Pakistan,True
127,100,Primary,Block E Industrial Area,Gujranwala,Punjab,79691,Pakistan,True
128,100,Secondary,450 Cantt,Gilgit,Gilgit-Baltistan,59007,Pakistan,False
129,101,Primary,305 College Road,Chaman,Balochistan,10646,Pakistan,True
130,102,Primary,House 353 College Road,Kotli,Azad Kashmir,17612,Pakistan,True
131,103,Primary,Block A Model Town,Mirpur,Azad Kashmir,30395,Pakistan,True
132,104,Primary,277 Cantt,Quetta,Balochistan,75916,Pakistan,True
133,104,Secondary,176 Gulberg,Peshawar,Khyber Pakhtunkhwa,93505,Pakistan,False
134,105,Primary,Block D Industrial Area,Jacobabad,Sindh,48095,Pakistan,True
135,105,Secondary,House 294 Park Road,Sialkot,Punjab,23572,Pakistan,False
136,106,Primary,Block E Gulberg,Gilgit,Gilgit-Baltistan,55693,Pakistan,True
137,107,Primary,House 215 Park Road,Kotli,Azad Kashmir,76403,Pakistan,True
138,108,Primary,House 466 Main Boulevard,Mardan,Khyber Pakhtunkhwa,72444,Pakistan,True
139,109,Primary,House 65 Industrial Area,Rawalakot,Azad Kashmir,22773,Pakistan,True
140,110,Primary,258 Park Road,Jacobabad,Sindh,54049,Pakistan,True
141,111,Primary,528 Defence Housing,Hyderabad,Sindh,80251,Pakistan,True
142,112,Primary,957 Park Road,Astore,Gilgit-Baltistan,32580,Pakistan,True
143,113,Primary,House 865 Park Road,Zhob,Balochistan,39993,Pakistan,True
144,114,Primary,House 236 Park Road,Khuzdar,Balochistan,57427,Pakistan,True
145,115,Primary,Block B Bahria Town,Sukkur,Sindh,13485,Pakistan,True
146,116,Primary,Block B College Road,Karachi,Sindh,55601,Pakistan,True
147,117,Primary,Block E University Road,Sialkot,Punjab,61843,Pakistan,True
148,117,Secondary,Block E College Road,Astore,Gilgit-Baltistan,36716,Pakistan,False
149,118,Primary,Block E University Road,Mansehra,Khyber Pakhtunkhwa,68744,Pakistan,True
150,119,Primary,House 8 Defence Housing,Abbottabad,Khyber Pakhtunkhwa,33362,Pakistan,True
151,120,Primary,774 College Road,Mardan,Khyber Pakhtunkhwa,35272,Pakistan,True
152,121,Primary,Block E Clifton,Charsadda,Khyber Pakhtunkhwa,77580,Pakistan,True
153,122,Primary,Block D Park Road,Turbat,Balochistan,65595,Pakistan,True
154,122,Secondary,House 642 Defence Housing,Muzaffarabad,Azad Kashmir,80502,Pakistan,False
155,123,Primary,House 639 Gulberg,Zhob,Balochistan,19612,Pakistan,True
156,124,Primary,House 13 University Road,Skardu,Gilgit-Baltistan,34548,Pakistan,True
157,125,Primary,Block C Model Town,Mirpur,Azad Kashmir,19812,Pakistan,True
158,126,Primary,Block B Bahria Town,Kotli,Azad Kashmir,66633,Pakistan,True
159,127,Primary,Block B Defence Housing,Hyderabad,Sindh,82740,Pakistan,True
160,127,Secondary,Block D Cantt,Sukkur,Sindh,15645,Pakistan,False
161,128,Primary,Block A University Road,Gilgit,Gilgit-Baltistan,83280,Pakistan,True
162,128,Secondary,13 Gulberg,Swat,Khyber Pakhtunkhwa,12535,Pakistan,False
163,129,Primary,House 570 College Road,Skardu,Gilgit-Baltistan,92821,Pakistan,True
164,130,Primary,House 780 Clifton,Mardan,Khyber Pakhtunkhwa,67330,Pakistan,True
165,131,Primary,Block C Clifton,Gujranwala,Punjab,71706,Pakistan,True
166,132,Primary,774 Industrial Area,Kotli,Azad Kashmir,76207,Pakistan,True
167,133,Primary,House 207 Johar Town,Rawalpindi,Punjab,18907,Pakistan,True
168,133,Secondary,53 Saddar,Quetta,Balochistan,67413,Pakistan,False
169,134,Primary,House 271 DHA,Multan,Punjab,49297,Pakistan,True
170,135,Primary,House 320 University Road,Bahawalpur,Punjab,78100,Pakistan,True
171,136,Primary,Block C Mall Road,Chaman,Balochistan,37441,Pakistan,True
172,136,Secondary,Block A DHA,Mirpur Khas,Sindh,33845,Pakistan,False
173,137,Primary,House 176 Johar Town,Sialkot,Punjab,48647,Pakistan,True
174,138,Primary,Block E Defence Housing,Charsadda,Khyber Pakhtunkhwa,57083,Pakistan,True
175,139,Primary,House 890 College Road,Sialkot,Punjab,46872,Pakistan,True
176,140,Primary,House 710 Saddar,Lahore,Punjab,26111,Pakistan,True
177,141,Primary,House 358 DHA,Gwadar,Balochistan,35539,Pakistan,True
178,141,Secondary,256 Model Town,Nawabshah,Sindh,96524,Pakistan,False
179,142,Primary,House 914 Cantt,Sukkur,Sindh,56719,Pakistan,True
180,142,Secondary,Block C Clifton,Kotli,Azad Kashmir,48855,Pakistan,False
181,143,Primary,Block B Main Boulevard,Khuzdar,Balochistan,66260,Pakistan,True
182,143,Secondary,8 Industrial Area,Sialkot,Punjab,48906,Pakistan,False
183,144,Primary,Block A Defence Housing,Chilas,Gilgit-Baltistan,49673,Pakistan,True
184,145,Primary,House 526 Industrial Area,Sialkot,Punjab,68798,Pakistan,True
185,146,Primary,Block B Johar Town,Multan,Punjab,54005,Pakistan,True
186,147,Primary,247 DHA,Faisalabad,Punjab,17279,Pakistan,True
187,147,Secondary,House 847 Main Boulevard,Gwadar,Balochistan,40941,Pakistan,False
188,148,Primary,279 Gulberg,Muzaffarabad,Azad Kashmir,77398,Pakistan,True
189,149,Primary,261 Park Road,Bahawalpur,Punjab,84549,Pakistan,True
190,149,Secondary,House 67 Saddar,Mansehra,Khyber Pakhtunkhwa,61282,Pakistan,False
191,150,Primary,964 Clifton,Rawalakot,Azad Kashmir,86232,Pakistan,True
192,151,Primary,House 427 Cantt,Nowshera,Khyber Pakhtunkhwa,15426,Pakistan,True
193,151,Secondary,569 College Road,Mirpur Khas,Sindh,37927,Pakistan,False
194,152,Primary,Block B Main Boulevard,Rawalakot,Azad Kashmir,94302,Pakistan,True
195,153,Primary,Block E College Road,Jacobabad,Sindh,64899,Pakistan,True
196,154,Primary,Block C Bahria Town,Rawalakot,Azad Kashmir,26469,Pakistan,True
197,154,Secondary,House 486 Industrial Area,Mirpur,Azad Kashmir,15908,Pakistan,False
198,155,Primary,Block C University Road,Kotli,Azad Kashmir,75206,Pakistan,True
199,155,Secondary,966 Defence Housing,Muzaffarabad,Azad Kashmir,63159,Pakistan,False
200,156,Primary,House 541 College Road,Zhob,Balochistan,57626,Pakistan,True
201,157,Primary,769 Defence Housing,Charsadda,Khyber Pakhtunkhwa,69769,Pakistan,True
202,158,Primary,725 Industrial Area,Rawalakot,Azad Kashmir,20272,Pakistan,True
203,158,Secondary,192 College Road,Jacobabad,Sindh,66026,Pakistan,False
204,159,Primary,840 College Road,Gwadar,Balochistan,14392,Pakistan,True
205,160,Primary,Block B Johar Town,Muzaffarabad,Azad Kashmir,16817,Pakistan,True
206,160,Secondary,Block E Cantt,Mirpur Khas,Sindh,63868,Pakistan,False
207,161,Primary,Block A Park Road,Mirpur Khas,Sindh,78763,Pakistan,True
208,161,Secondary,House 448 Mall Road,Rawalpindi,Punjab,47985,Pakistan,False
209,162,Primary,House 651 Main Boulevard,Mirpur,Azad Kashmir,40818,Pakistan,True
210,163,Primary,House 885 College Road,Nowshera,Khyber Pakhtunkhwa,79311,Pakistan,True
211,164,Primary,Block D Mall Road,Chilas,Gilgit-Baltistan,87516,Pakistan,True
212,165,Primary,822 Industrial Area,Gujranwala,Punjab,33097,Pakistan,True
213,166,Primary,House 870 Model Town,Bahawalpur,Punjab,64177,Pakistan,True
214,167,Primary,Block D Cantt,Larkana,Sindh,11360,Pakistan,True
215,168,Primary,299 College Road,Rawalpindi,Punjab,10400,Pakistan,True
216,169,Primary,343 DHA,Gwadar,Balochistan,57547,Pakistan,True
217,170,Primary,Block E Cantt,Khuzdar,Balochistan,14074,Pakistan,True
218,170,Secondary,106 Saddar,Chilas,Gilgit-Baltistan,43707,Pakistan,False
219,171,Primary,891 Model Town,Khuzdar,Balochistan,16410,Pakistan,True
220,172,Primary,Block C DHA,Gwadar,Balochistan,27206,Pakistan,True
221,173,Primary,102 Main Boulevard,Skardu,Gilgit-Baltistan,25819,Pakistan,True
222,174,Primary,House 465 Cantt,Sargodha,Punjab,30568,Pakistan,True
223,175,Primary,House 943 Park Road,Turbat,Balochistan,36441,Pakistan,True
224,176,Primary,577 University Road,Zhob,Balochistan,97325,Pakistan,True
225,177,Primary,House 525 Cantt,Jacobabad,Sindh,73961,Pakistan,True
226,178,Primary,House 247 College Road,Kotli,Azad Kashmir,97299,Pakistan,True
227,178,Secondary,288 Clifton,Mardan,Khyber Pakhtunkhwa,74216,Pakistan,False
228,179,Primary,319 Bahria Town,Gilgit,Gilgit-Baltistan,31279,Pakistan,True
229,180,Primary,House 607 Johar Town,Kotli,Azad Kashmir,73495,Pakistan,True
230,181,Primary,977 Mall Road,Zhob,Balochistan,70878,Pakistan,True
231,182,Primary,House 592 Park Road,Karachi,Sindh,42542,Pakistan,True
232,183,Primary,House 783 Defence Housing,Gwadar,Balochistan,88426,Pakistan,True
233,184,Primary,Block D Cantt,Multan,Punjab,76876,Pakistan,True
234,185,Primary,House 114 Defence Housing,Mardan,Khyber Pakhtunkhwa,97352,Pakistan,True
235,186,Primary,950 Clifton,Kotli,Azad Kashmir,96598,Pakistan,True
236,186,Secondary,Block A Clifton,Muzaffarabad,Azad Kashmir,99549,Pakistan,False
237,187,Primary,Block E DHA,Mirpur Khas,Sindh,33632,Pakistan,True
238,188,Primary,545 Saddar,Astore,Gilgit-Baltistan,12510,Pakistan,True
239,189,Primary,623 Mall Road,Nowshera,Khyber Pakhtunkhwa,47605,Pakistan,True
240,190,Primary,152 Clifton,Zhob,Balochistan,53831,Pakistan,True
241,191,Primary,Block B Saddar,Quetta,Balochistan,42504,Pakistan,True
242,191,Secondary,639 Defence Housing,Bahawalpur,Punjab,97095,Pakistan,False
243,192,Primary,348 DHA,Turbat,Balochistan,48407,Pakistan,True
244,193,Primary,Block E Saddar,Quetta,Balochistan,87965,Pakistan,True
245,194,Primary,House 954 Main Boulevard,Mardan,Khyber Pakhtunkhwa,92061,Pakistan,True
246,195,Primary,House 924 DHA,Lahore,Punjab,61469,Pakistan,True
247,196,Primary,Block A Mall Road,Skardu,Gilgit-Baltistan,58212,Pakistan,True
248,197,Primary,Block D Cantt,Khuzdar,Balochistan,50939,Pakistan,True
249,198,Primary,74 Park Road,Karachi,Sindh,84316,Pakistan,True
250,199,Primary,Block D DHA,Quetta,Balochistan,70425,Pakistan,True
251,200,Primary,Block E Johar Town,Quetta,Balochistan,81689,Pakistan,True
252,201,Primary,Block D Defence Housing,Mirpur,Azad Kashmir,45773,Pakistan,True
253,202,Primary,904 Gulberg,Muzaffarabad,Azad Kashmir,25345,Pakistan,True
254,203,Primary,House 332 College Road,Rawalpindi,Punjab,88073,Pakistan,True
255,203,Secondary,582 Industrial Area,Gwadar,Balochistan,78318,Pakistan,False
256,204,Primary,Block D Defence Housing,Chaman,Balochistan,68912,Pakistan,True
257,205,Primary,763 Model Town,Peshawar,Khyber Pakhtunkhwa,32017,Pakistan,True
258,205,Secondary,House 261 University Road,Chaman,Balochistan,32353,Pakistan,False
259,206,Primary,House 919 Mall Road,Karachi,Sindh,75785,Pakistan,True
260,207,Primary,House 670 Saddar,Quetta,Balochistan,89255,Pakistan,True
261,208,Primary,Block D Model Town,Zhob,Balochistan,34658,Pakistan,True
262,209,Primary,Block D Bahria Town,Charsadda,Khyber Pakhtunkhwa,32298,Pakistan,True
263,209,Secondary,Block C Mall Road,Gujranwala,Punjab,24370,Pakistan,False
264,210,Primary,House 830 Clifton,Multan,Punjab,74073,Pakistan,True
265,211,Primary,Block B DHA,Mansehra,Khyber Pakhtunkhwa,28430,Pakistan,True
266,212,Primary,Block D Park Road,Skardu,Gilgit-Baltistan,11799,Pakistan,True
267,212,Secondary,House 384 College Road,Rawalakot,Azad Kashmir,24718,Pakistan,False
268,213,Primary,688 Park Road,Sialkot,Punjab,28464,Pakistan,True
269,214,Primary,Block D Defence Housing,Rawalakot,Azad Kashmir,18864,Pakistan,True
270,215,Primary,Block D Park Road,Lahore,Punjab,88147,Pakistan,True
271,216,Primary,House 968 Park Road,Kotli,Azad Kashmir,82224,Pakistan,True
272,217,Primary,792 Bahria Town,Charsadda,Khyber Pakhtunkhwa,74959,Pakistan,True
273,218,Primary,House 236 University Road,Kotli,Azad Kashmir,66755,Pakistan,True
274,218,Secondary,127 College Road,Mansehra,Khyber Pakhtunkhwa,38951,Pakistan,False
275,219,Primary,388 Park Road,Chilas,Gilgit-Baltistan,27736,Pakistan,True
276,220,Primary,House 45 Clifton,Mansehra,Khyber Pakhtunkhwa,68112,Pakistan,True
277,220,Secondary,283 University Road,Abbottabad,Khyber Pakhtunkhwa,25026,Pakistan,False
278,221,Primary,Block B Johar Town,Mirpur,Azad Kashmir,20306,Pakistan,True
279,221,Secondary,Block D Defence Housing,Faisalabad,Punjab,42755,Pakistan,False
280,222,Primary,Block E Saddar,Jacobabad,Sindh,59171,Pakistan,True
281,223,Primary,321 Gulberg,Nowshera,Khyber Pakhtunkhwa,73621,Pakistan,True
282,224,Primary,668 Mall Road,Lahore,Punjab,55102,Pakistan,True
283,225,Primary,162 Clifton,Gilgit,Gilgit-Baltistan,81953,Pakistan,True
284,225,Secondary,House 781 College Road,Larkana,Sindh,26191,Pakistan,False
285,226,Primary,House 567 Model Town,Jacobabad,Sindh,90881,Pakistan,True
286,227,Primary,House 6 University Road,Lahore,Punjab,39942,Pakistan,True
287,227,Secondary,Block D Saddar,Astore,Gilgit-Baltistan,29243,Pakistan,False
288,228,Primary,919 Model Town,Rawalpindi,Punjab,30243,Pakistan,True
289,229,Primary,House 213 Bahria Town,Lahore,Punjab,42148,Pakistan,True
290,230,Primary,468 DHA,Chilas,Gilgit-Baltistan,75665,Pakistan,True
291,231,Primary,301 Defence Housing,Mirpur Khas,Sindh,27583,Pakistan,True
292,232,Primary,Block D Gulberg,Larkana,Sindh,60931,Pakistan,True
293,233,Primary,Block B Industrial Area,Mirpur,Azad Kashmir,58547,Pakistan,True
294,234,Primary,House 589 Mall Road,Chilas,Gilgit-Baltistan,75274,Pakistan,True
295,234,Secondary,427 Mall Road,Karachi,Sindh,76655,Pakistan,False
296,235,Primary,831 Clifton,Zhob,Balochistan,63087,Pakistan,True
297,236,Primary,Block C Clifton,Chaman,Balochistan,38064,Pakistan,True
298,237,Primary,House 697 Clifton,Larkana,Sindh,94368,Pakistan,True
299,238,Primary,Block E Mall Road,Turbat,Balochistan,92764,Pakistan,True
300,239,Primary,House 294 Mall Road,Lahore,Punjab,77337,Pakistan,True
301,240,Primary,House 794 Main Boulevard,Mirpur,Azad Kashmir,28834,Pakistan,True
302,241,Primary,318 Cantt,Mirpur Khas,Sindh,30729,Pakistan,True
303,242,Primary,House 712 Defence Housing,Nowshera,Khyber Pakhtunkhwa,90356,Pakistan,True
304,243,Primary,Block C Park Road,Skardu,Gilgit-Baltistan,35153,Pakistan,True
305,244,Primary,House 51 Bahria Town,Multan,Punjab,15041,Pakistan,True
306,244,Secondary,609 Park Road,Kotli,Azad Kashmir,43226,Pakistan,False
307,245,Primary,House 797 DHA,Gwadar,Balochistan,96762,Pakistan,True
308,246,Primary,House 682 Clifton,Jacobabad,Sindh,53225,Pakistan,True
309,247,Primary,House 767 Main Boulevard,Hyderabad,Sindh,82034,Pakistan,True
310,247,Secondary,House 523 Mall Road,Chilas,Gilgit-Baltistan,14082,Pakistan,False
311,248,Primary,731 Main Boulevard,Chilas,Gilgit-Baltistan,15958,Pakistan,True
312,249,Primary,House 97 Bahria Town,Rawalpindi,Punjab,14062,Pakistan,True
313,250,Primary,387 Mall Road,Faisalabad,Punjab,86015,Pakistan,True
314,251,Primary,907 Saddar,Charsadda,Khyber Pakhtunkhwa,28942,Pakistan,True
315,252,Primary,House 249 Model Town,Faisalabad,Punjab,69568,Pakistan,True
316,253,Primary,376 Main Boulevard,Bahawalpur,Punjab,79053,Pakistan,True
317,254,Primary,Block E Mall Road,Astore,Gilgit-Baltistan,58768,Pakistan,True
318,255,Primary,House 9 Industrial Area,Rawalakot,Azad Kashmir,29180,Pakistan,True
319,255,Secondary,766 Model Town,Gwadar,Balochistan,20097,Pakistan,False
320,256,Primary,House 609 University Road,Jacobabad,Sindh,96308,Pakistan,True
321,257,Primary,979 Saddar,Lahore,Punjab,80979,Pakistan,True
322,257,Secondary,745 College Road,Skardu,Gilgit-Baltistan,80879,Pakistan,False
323,258,Primary,759 Johar Town,Karachi,Sindh,56197,Pakistan,True
324,259,Primary,41 Model Town,Zhob,Balochistan,35395,Pakistan,True
325,260,Primary,Block D Main Boulevard,Mansehra,Khyber Pakhtunkhwa,67978,Pakistan,True
326,261,Primary,628 Main Boulevard,Astore,Gilgit-Baltistan,48014,Pakistan,True
327,262,Primary,Block C Cantt,Mirpur Khas,Sindh,82624,Pakistan,True
